"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"1","AMAT_Milan_feed","1","Greco - Castelli","","0","","",""
"27","AMAT_Milan_feed","23","Stz Lambrate -  Fontana","","0","","",""
"43","AMAT_Milan_feed","38","Corelli -  Susa","","3","","",""
"61","AMAT_Milan_feed","47","Q.re L. il Moro -  Cantore","","3","","",""
"62","AMAT_Milan_feed","47","Cantore - Q.re L. il Moro","","3","","",""
"283","AMAT_Milan_feed","47","Biella/Miani - Q.re L.il Moro (ins.da deposito)","","3","","",""
"303","AMAT_Milan_feed","55","Pordenone/Udine - Q.re Feltre (ins. da deposito)","","3","","",""
"455","AMAT_Milan_feed","171","Interno Cim. Maggiore (Campo 1 Campo 92)","","3","","",""
"473","AMAT_Milan_feed","55","Loreto - Q.re Feltre","","3","","",""
"474","AMAT_Milan_feed","55","Loreto - Ist. S.Cuore (Rombon)","","3","","",""
"475","AMAT_Milan_feed","55","Loreto - Cim. Lambrate","","3","","",""
"477","AMAT_Milan_feed","55","Ist. S.Cuore (Rombon) - Loreto","","3","","",""
"478","AMAT_Milan_feed","55","Q.re Feltre - Loreto","","3","","",""
"479","AMAT_Milan_feed","55","Cim. Lambrate - Loreto","","3","","",""
"480","AMAT_Milan_feed","56","Q.re Adriano - Loreto","","3","","",""
"548","AMAT_Milan_feed","47","Romolo - Q.re L.il Moro (lim. causa mercato)","","3","","",""
"549","AMAT_Milan_feed","171","Interno Cim.Maggiore (campo 92 campo 1)","","3","","",""
"583","AMAT_Milan_feed","67","Baracca - Scanini","","3","","",""
"654","AMAT_Milan_feed","56","P.le Loreto - Q.re Adriano","","3","","",""
"671","AMAT_Milan_feed","34","Toffetti - Q.re Fatima","","3","","",""
"672","AMAT_Milan_feed","34","Q.re Fatima - Toffetti","","3","","",""
"685","AMAT_Milan_feed","1","Cantu'/Orefici - Castelli (nott./matt.)","","0","","",""
"747","AMAT_Milan_feed","34","Quaranta - Chopin/Rogers (34 Rossa)","","3","","",""
"748","AMAT_Milan_feed","34","Chopin/Rogers - Quaranta (34 Rossa)","","3","","",""
"752","AMAT_Milan_feed","34","Chopin/Rogers - Ripamonti/Quaranta (lic. per deposito)","","3","","",""
"766","AMAT_Milan_feed","58","Gozzoli - Zurigo / Inganni","","3","","",""
"792","AMAT_Milan_feed","64","Primaticcio/Brasilia - Q.to Romano (ins. da deposito)","","3","","",""
"820","AMAT_Milan_feed","95","Siena - Rogoredo (ins. da deposito)","","3","","",""
"889","AMAT_Milan_feed","80","Betti - Novara (lic. per deposito)","","3","","",""
"1030","AMAT_Milan_feed","1","Settembrini - Greco (ins. da deposito)","","0","","",""
"1031","AMAT_Milan_feed","1","Greco - Settembrini (lic. per deposito)","","0","","",""
"1242","AMAT_Milan_feed","924","Segrate (S. Ambrogio) - Segrate (Monzese) (lic. per deposito)","","3","","",""
"1345","AMAT_Milan_feed","90","Molise/Etruschi - Isonzo (ins. da deposito)","","3","","",""
"1346","AMAT_Milan_feed","91","Lotto - Murillo/Brescia","","3","","",""
"1347","AMAT_Milan_feed","91","Isonzo - Molise/Cadibona (lic. per deposito)","","3","","",""
"1353","AMAT_Milan_feed","58","Noale - Lucca (Bisceglie M1)","","3","","",""
"1436","AMAT_Milan_feed","76","Q.re Teramo - Romolo M2","","3","","",""
"1437","AMAT_Milan_feed","76","Romolo M2 - Q.re Teramo","","3","","",""
"1447","AMAT_Milan_feed","64","Lorenteggio - Q.to Romano","","3","","",""
"1454","AMAT_Milan_feed","64","Lorenteggio/Odazio - Lorenteggio (ins. da deposito)","","3","","",""
"1472","AMAT_Milan_feed","38","Susa - Corelli","","3","","",""
"1621","AMAT_Milan_feed","47","Q.re L.il Moro - Romolo M2 (limit. causa mercato)","","3","","",""
"1743","AMAT_Milan_feed","77","P.ta Romana - Cim. Chiaravalle","","3","","",""
"1840","AMAT_Milan_feed","27","Ungheria - 22 Marzo (lic. per deposito)","","0","","",""
